,entity_index,entity_name,cui,cui_name
0,0,PHYHIP,C1424604,PHYHIP gene
1,1,GPANK1,C1422272,GPANK1 gene
2,2,ZRSR2,C1435016,"ZRSR2 protein, human"
3,3,NRF1,C1417700,NFE2L1 gene
4,4,PI4KA,C1418579,PI4KA gene
5,5,SLC15A1,C1420100,SLC15A1 gene
6,6,EIF3I,C1414339,EIF3I gene
7,7,FAXDC2,C1413009,FAXDC2 gene
8,8,MT1A,C1417389,MT1A gene
9,9,SORT1,C1420313,SORT1 gene
10,10,LRP5,C1416917,LRP5 gene
11,11,RPS8,C1419752,RPS8 gene
12,12,CD7,C0054968,CD7 Antigens
13,13,MRPL9,C1422536,MRPL9 gene
14,14,PSMC4,C1419024,PSMC4 gene
15,15,EGR1,C1414314,EGR1 gene
16,16,SNRPD2,C1420290,SNRPD2 gene
17,17,KRTAP4,,
18,18,TAF1,C1146629,"TAF1 protein, human"
19,19,VAV3,C0904737,"VAV3 protein, human"
20,20,KRTAP5,,
21,21,HMOX2,C1415620,HMOX2 gene
22,22,FOS,C0087140,FOS gene
23,23,DNAJC3,C1418932,DNAJC3 gene
24,24,LGALS9,C1416836,LGALS9 gene
25,25,MYC,C0086661,MYC gene
26,26,MAP3K6,C1417015,MAP3K6 gene
27,27,KRT20,C1426926,KRT20 gene
28,28,TUBGCP5,C1425638,TUBGCP5 gene
29,29,F2,C1414504,F2 gene
30,30,DNM1,C1414118,DNM1 gene
31,31,NUDC,C1417876,NUDC gene
32,32,CD53,C0108791,CD53 antigen
33,33,GSK3B,C1415321,GSK3B gene
34,34,NAXD,C2681323,NAXD gene
35,35,SLC7A14,,
36,36,PVR,C0242852,Proliferative vitreoretinopathy
37,37,CLCN7,C1413456,CLCN7 gene
38,38,CCNB1,C1332695,CCNB1 gene
39,39,ATF5,C1412621,ATF5 gene
40,40,CDK2,C0108855,"CDK2 protein, human"
41,41,NDUFS8,C1417651,NDUFS8 gene
42,42,PITX1,C1418595,PITX1 gene
43,43,PIK3R1,C1418576,PIK3R1 gene
44,44,SRPK1,C1420412,SRPK1 gene
45,45,HOXD12,C1415686,HOXD12 gene
46,46,BZW2,C1425792,BZW2 gene
47,47,TAB1,C1334476,TAB1 gene
48,48,CDKL4,C1540307,CDKL4 gene
49,49,PPP1R16A,C1423072,PPP1R16A gene
50,50,ETS2,C0107720,ETS2 Protein
51,51,SP1,C0450544,Spleen acupuncture point SP1
52,52,NKIRAS2,C1425159,NKIRAS2 gene
53,53,IFIT2,C1415894,IFIT2 gene
54,54,AURKA,C0971285,Aurora Kinase A
55,55,TRA2B,C1419990,TRA2B gene
56,56,KAT5,C1333931,KAT5 gene
57,57,TLX3,C1422043,TLX3 gene
58,58,XRN2,C1421549,XRN2 gene
59,59,RPL5,C1419683,RPL5 gene
60,60,SNAP23,C1420269,SNAP23 gene
61,61,CALM1,C1332659,CALM1 gene
62,62,INPP1,C1416440,INPP1 gene
63,63,PPP5C,C1418852,PPP5C gene
64,64,PRPF3,C1424921,PRPF3 gene
65,65,SF3A1,C1419977,SF3A1 gene
66,66,SF1,C0171961,Steroidogenic Factor 1
67,67,MET,C0025646,methionine
68,68,E2F1,C0812258,E2F1 gene
69,69,RAD1,C0919455,RRAD gene
70,70,KRT15,C1416722,KRT15 gene
71,71,CTCF,C1137457,"CTGF protein, human"
72,72,RABGGTA,C1419222,RABGGTA gene
73,73,COPS3,C1413613,COPS3 gene
74,74,ADRA2B,C1332029,ADRA2B gene
75,75,MYL6,C1417551,MYL6 gene
76,76,NUBP1,C1417872,NUBP1 gene
77,77,IHO1,C1824560,IHO1 gene
78,78,VHL,C0019562,Von Hippel-Lindau Syndrome
79,79,GHITM,C1424872,GHITM gene
80,80,BRCA2,C0598034,BRCA2 gene
81,81,TLE5,C1412268,TLE5 gene
82,82,CHML,C0911887,CHML lipid
83,83,AP2S1,C1412445,AP2S1 gene
84,84,SNU13,C1417724,SNU13 gene
85,85,DDOST,C1413949,DDOST gene
86,86,SKP2,C1335831,SKP2 gene
87,87,HNRNPA2B1,C1415636,HNRNPA2B1 gene
88,88,PRPF31,C1423492,PRPF31 gene
89,89,TMEM139,C1823402,TMEM139 gene
90,90,BSG,C1412828,BSG gene
91,91,PTTG1IP,C1422035,PTTG1IP gene
92,92,CLN5,C1413497,CLN5 gene
93,93,DUSP5,C1414186,DUSP5 gene
94,94,RNF10,C1419414,RNF10 gene
95,95,NDUFS6,C1417649,NDUFS6 gene
96,96,NADK,C1150497,NAD+ kinase activity
97,97,ATP6AP2,C1310515,"ATP6AP2 protein, human"
98,98,CTSA,C1824812,CTSA gene
99,99,GNAI1,C1415142,GNAI1 gene
100,100,SEC23A,C1419925,SEC23A gene
101,101,ECI2,C1309116,"ECI2 protein, human"
102,102,NR2C2,C1417830,NR2C2 gene
103,103,SETD7,C1822691,SETD7 gene
104,104,SF3A3,C1419979,SF3A3 gene
105,105,ZNF32,C1421786,ZNF32 gene
106,106,FOXA1,C1415626,FOXA1 gene
107,107,SUMO1,C1539895,SUMO1 gene
108,108,CHEK1,C0659150,"CHEK1 protein, human"
109,109,TERF2,C1336605,TERF2 gene
110,110,SUV39H1,C1420532,SUV39H1 gene
111,111,TTR,C1421224,TTR gene
112,112,OXLD1,C2240319,OXLD1 gene
113,113,DDX42,C1425699,DDX42 gene
114,114,RABEP1,C1142901,"RABEP1 protein, human"
115,115,DNAJC30,C2681419,DNAJC30 gene
116,116,CASP8,C1144061,"CASP8 protein, human"
117,117,SMC5,C1822781,SMC5 gene
